"record_id","title","authors","year","document_type","journal_or_conference","volume_issue_pages","doi","stable_url","metadata_source","search_id","primary_theme","secondary_tags","domestic_or_international","evidence_level","fulltext_status","include_status","exclusion_reason","bibkey","chap1_use","chap2_use","claim_ids","metadata_verified_at","publication_language","recent_five_year"
"LIT071","Accelerating the phase demodulation process for heterodyne phi-OTDR using spatial phase shifting","Shuaiqi Liu; Liyang Shao; Fei-Hong Yu; Weihao Lin; Dongrui Xiao; Siming Sun; Shangru Li; Sio Hang Pun; Peng Un Mak; Mang I Vai","2023","journal article","Optics Letters","48(4):1048-1051","10.1364/OL.482219","https://doi.org/10.1364/OL.482219","DOI metadata and publisher abstract","S009","T4","spatial phase shifting; phase demodulation; computational efficiency","domestic","A","publisher abstract verified","include","","liu2023spatial","recent efficient demodulation","spatial phase-shifting principle","","2026-07-27","en","yes"
"LIT072","Ultra-low sampling resolution technique for heterodyne phase-OTDR based distributed acoustic sensing","Fei-Hong Yu; Shuaiqi Liu; Liyang Shao; Weijie Xu; Dongrui Xiao; Fang Zhao; Jie Hu; Weihao Lin; Guoqing Wang; Weizhi Wang; Feng Wang; Huanhuan Liu; Perry Ping Shum","2022","journal article","Optics Letters","47(14):3379-3382","10.1364/OL.456925","https://doi.org/10.1364/OL.456925","DOI metadata and publisher abstract","S009","T4","heterodyne; low-bit sampling; data reduction","domestic","A","publisher abstract verified","include","","yu2022sampling","heterodyne acquisition simplification","sampling and quantization basis","","2026-07-27","en","yes"
"LIT074","Phase Error Evaluation via Differentiation and Cross-Multiplication Demodulation in Phase-Sensitive Optical Time-Domain Reflectometry","Xin Lu; Peter James Thomas","2023","journal article","Photonics","10(5):514","10.3390/photonics10050514","https://doi.org/10.3390/photonics10050514","DOI metadata and open full text","S009","T4","phase error; DCM; IQ demodulation; noise","international","A","open full text","include","","lu2023phase","error-model comparison for demodulation","phase-error probability model","","2026-07-27","en","yes"
"LIT076","相位敏感光时域反射分布式光纤传感技术","张旭幸; 丁哲文; 洪瑞; 陈晓红; 梁蕾; 张驰; 王峰; 邹宁睿; 张益昕","2021","journal article","光学学报","41(1):0106004","10.3788/AOS202141.0106004","https://doi.org/10.3788/AOS202141.0106004","journal official page and full text","S006","T1","phi-OTDR review; system architecture; applications","domestic","A","official Chinese full text verified","include","","zhang2021phase_cn","Chinese review of phi-OTDR principles and development","system architecture and principle","C01;C04","2026-07-27","zh","yes"
"LIT077","基于Φ-OTDR的光纤分布式传感信号处理及应用","吴慧娟; 刘欣雨; 饶云江","2021","journal article","激光与光电子学进展","58(13):1306003","10.3788/LOP202158.1306003","https://doi.org/10.3788/LOP202158.1306003","journal official page and full text","S006","T4","signal processing; event recognition; DAS applications","domestic","A","official Chinese full text verified","include","","wu2021processing_cn","Chinese progress in DAS signal processing","signal processing framework","C03;C04","2026-07-27","zh","yes"
"LIT078","基于MEEMD-HHT的分布式光纤振动传感系统信号特征提取方法","于淼; 张耀鲁; 徐泽辰; 何禹潼","2021","journal article","红外与激光工程","50(7):20210223","10.3788/IRLA20210223","https://doi.org/10.3788/IRLA20210223","journal official page and full text","S006","T4","MEEMD-HHT; feature extraction; vibration signal processing","domestic","A","official Chinese full text verified","include","","yu2021meemd_cn","domestic signal-processing example","feature extraction method","C03","2026-07-27","zh","yes"
"LIT079","相位敏感光时域反射仪的信号处理方法综述","田曼伶; 刘东辉; 曹晓敏; 余贶琭","2021","journal article","光学精密工程","29(9):2189-2209","10.37188/OPE.20212909.2189","https://doi.org/10.37188/OPE.20212909.2189","journal official page and full text","S006","T4","signal processing review; denoising; feature extraction; machine learning","domestic","A","official Chinese full text verified","include","","tian2021signal_cn","Chinese review of phi-OTDR signal processing","processing-method classification","C03;C04","2026-07-27","zh","yes"
"LIT080","光纤分布式声传感的动态范围扩展方法研究","马喆; 王逸璇; 江俊峰; 王双; 张建德; 杨宁; 徐天华; 丁振扬; 刘铁根","2021","journal article","光学学报","41(13):1306008","10.3788/AOS202141.1306008","https://doi.org/10.3788/AOS202141.1306008","journal official page and full text","S006","T1","dynamic range; LFM pulse; sideband modulation","domestic","A","official Chinese full text verified","include","","ma2021dynamic_cn","domestic dynamic-range extension","frequency-time mapping and dynamic range","C01","2026-07-27","zh","yes"
"LIT081","相位敏感光时域反射系统低频响应性能优化","于淼; 孙铭阳; 何禹潼; 张崇富; 郑志丰; 孔谦","2022","journal article","红外与激光工程","51(5):20211125","10.3788/IRLA20211125","https://doi.org/10.3788/IRLA20211125","journal official page and full text","S006","T3","AOM; common clock; low-frequency response; phase noise","domestic","A","official Chinese full text verified","include","","yu2022lowfrequency_cn","AOM and synchronous-clock progress","AOM clock and phase-noise model","C02;C03","2026-07-27","zh","yes"
"LIT082","光纤分布式声传感系统在GIS耐压测试中的应用","黄涛; 孙恒东; 蒋骏; 王章轩; 杨永前; 陈金林","2023","journal article","激光技术","47(4):459-462","10.7510/jgjs.issn.1001-3806.2023.04.003","https://doi.org/10.7510/jgjs.issn.1001-3806.2023.04.003","journal official page and full text","S006","T5","DAS application; GIS; fault location","domestic","A","official Chinese full text verified","include","","huang2023gis_cn","domestic engineering application","","C01","2026-07-27","zh","yes"
"LIT083","基于宽带声光调制的高保真相位敏感光时域反射计系统","雷艳阳; 姜桃飞; 马云宾; 夏猛; 汤晓惠; 隋景林; 杨芳; 杜学新; 董永康","2024","journal article","光学学报","44(1):0106017","10.3788/AOS231426","https://doi.org/10.3788/AOS231426","journal official page and full text","S006","T3","broadband AOM; multifrequency pulse; coherent fading","domestic","A","official Chinese full text verified","include","","lei2024broadband_cn","recent domestic AOM and fading-control work","multi-frequency AOM modulation","C02;C03","2026-07-27","zh","yes"
"LIT084","基于改进奇异值分解法降噪的频分复用Φ-OTDR","陈娟; 张红娟; 王鹏飞; 高妍; 靳宝全","2024","journal article","中国激光","51(22):2210003","10.3788/CJL240638","https://doi.org/10.3788/CJL240638","journal official page and full text","S006","T4","frequency division multiplexing; SVD; noise suppression","domestic","A","official Chinese full text verified","include","","chen2024svd_cn","recent domestic noise-suppression work","signal denoising example","C03","2026-07-27","zh","yes"
"LIT085","Ф-OTDR系统中的衰落效应抑制研究进展（特邀）","雷艳阳; 陈金博; 刘帅旗; 李天夫; 董永康","2025","journal article","红外与激光工程","54(4):20250051","10.3788/IRLA20250051","https://doi.org/10.3788/IRLA20250051","journal official page and full text","S006","T4","fading review; polarization diversity; coherent fading","domestic","A","official Chinese full text verified","include","","lei2025fading_cn","recent Chinese review of fading suppression","polarization and coherent fading","C03;C04","2026-07-27","zh","yes"
"LIT086","Semiconductor optical amplifiers: recent advances and applications","Aneesh Sobhanan; Aravind Anthur; Sean O-Duill; Mark Pelusi; Shu Namiki; Liam Barry; Deepa Venkitesh; Govind P. Agrawal","2022","journal article","Advances in Optics and Photonics","14(3):571-651","10.1364/AOP.451872","https://doi.org/10.1364/AOP.451872","publisher official page and DOI metadata","S007","T2","SOA review; carrier dynamics; gain saturation; coherent signals","international","A","publisher abstract and accepted manuscript metadata verified","include","","sobhanan2022soa","recent SOA mechanism review","SOA carrier and gain model","C02","2026-07-27","en","yes"
"LIT087","Dynamic power and chirp measurements of a quantum dash semiconductor optical amplifier amplified picosecond pulses using a linear pulse characterization technique","Michael J. Connelly; Javier Romero-Vivas; Pascal Morel; Ammar Sharaiha; Frédéric Pommereau; Catherine Fortin","2023","journal article","Optical and Quantum Electronics","55(1):36","10.1007/s11082-022-04301-7","https://doi.org/10.1007/s11082-022-04301-7","DOI metadata and university repository","S007","T2","SOA chirp; dynamic power; pulse characterization","international","A","repository abstract and DOI metadata verified","include","","connelly2023dynamic","recent SOA pulse-chirp evidence","SOA transient chirp model","C02","2026-07-27","en","yes"
"LIT088","A Novel φ-OTDR System With a Phase Demodulation Module Based on Sagnac Balanced Interferometer","Xiang Zhong; Baofei Zhang; Jie Ren; Huaxia Deng; Xiaoshan Chen; Mengchao Ma","2021","journal article","Journal of Lightwave Technology","39(22):7307-7314","10.1109/JLT.2021.3113082","https://doi.org/10.1109/JLT.2021.3113082","DOI metadata and publisher page","S007","T4","Sagnac balanced interferometer; phase demodulation","domestic","A","publisher abstract and DOI metadata verified","include","","zhong2021sagnac","recent phase-demodulation architecture","complex phase extraction","C03","2026-07-27","en","yes"
"LIT089","Characterizing detection noise in phase-sensitive optical time domain reflectometry","Xin Lu; Katerina Krebber","2021","journal article","Optics Express","29(12):18791-18806","10.1364/OE.424410","https://doi.org/10.1364/OE.424410","DOI metadata and publisher page","S007","T4","detection noise; phase stability; SNR","international","A","publisher abstract and DOI metadata verified","include","","lu2021detection","recent detection-noise evidence","phase-noise and SNR model","C03","2026-07-27","en","yes"
"LIT090","Phase error analysis and unwrapping error suppression in phase-sensitive optical time domain reflectometry","Xin Lu; Katerina Krebber","2022","journal article","Optics Express","30(5):6934-6948","10.1364/OE.446517","https://doi.org/10.1364/OE.446517","DOI metadata and publisher page","S007","T4","phase error; phase unwrapping; low SNR","international","A","publisher abstract and DOI metadata verified","include","","lu2022phaseerror","recent phase-error evidence","unwrapping-error analysis","C03","2026-07-27","en","yes"
"LIT091","Digitalized phase demodulation scheme of φ-OTDR based on cross-coherence between Rayleigh back-scattering beat signals","Yang Yang; An Sun; Ting Fan; Qi Li","2022","journal article","Optical Fiber Technology","71:102896","10.1016/j.yofte.2022.102896","https://doi.org/10.1016/j.yofte.2022.102896","DOI metadata and publisher page","S007","T4","digital phase demodulation; cross coherence; beat signal","domestic","A","publisher abstract and DOI metadata verified","include","","yang2022digitalized","recent digital phase-demodulation work","complex beat-signal demodulation","C03","2026-07-27","en","yes"
"LIT092","Mitigating the Impact of Frequency Drift on Φ-OTDR Demodulation With WOA-VMD","Lijuan Zhao; Xuzhe Zhang; Zhiniu Xu","2024","journal article","IEEE Photonics Technology Letters","36(1):31-34","10.1109/LPT.2023.3335042","https://doi.org/10.1109/LPT.2023.3335042","DOI metadata and publisher page","S007","T4","frequency drift; demodulation; WOA-VMD","domestic","A","publisher abstract and DOI metadata verified","include","","zhao2024frequency","recent frequency-drift compensation","frequency mismatch and demodulation","C03","2026-07-27","en","yes"
"LIT093","Noise Performance Analysis and Optimization of Downsampling Heterodyne Φ-OTDR","Guo Zhu; Fei Liu; Xiaojun Liu; Santosh Kumar; Xian Zhou","2024","journal article","IEEE Sensors Journal","24(9):14093-14100","10.1109/JSEN.2024.3368227","https://doi.org/10.1109/JSEN.2024.3368227","DOI metadata and publisher page","S007","T4","heterodyne phi-OTDR; downsampling; noise optimization","domestic","A","publisher abstract and DOI metadata verified","include","","zhu2024downsampling","recent heterodyne-noise optimization","sampling and noise model","C03","2026-07-27","en","yes"
"LIT094","φ-OTDR动态应变测量范围提升方法研究","冉玉娇","2025","master thesis","桂林电子科技大学","硕士学位论文","","https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CMFD&dbname=CMFD2026&filename=1025881920.nh","CNKI thesis metadata page","S010","T4","phase demodulation; dynamic strain range; phase unwrapping","domestic","A","degree type metadata and abstract verified","include","","ran2025dynamic_thesis","recent domestic degree research on dynamic range","phase difference and unwrapping","C03","2026-07-27","zh","yes"
"LIT095","基于瑞利散射的分布式光纤振动监测系统设计及性能优化研究","刘莹淮","2025","master thesis","北京邮电大学","硕士学位论文","","https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CMFD&dbname=CMFD2026&filename=1025073624.nh","CNKI thesis metadata page","S010","T1","heterodyne coherent detection; system optimization; real-time phase demodulation","domestic","A","degree type metadata and abstract verified","include","","liu2025rayleigh_thesis","recent domestic system implementation","heterodyne system architecture","C01","2026-07-27","zh","yes"
"LIT096","基于分布式光纤传感的风电地埋电缆安全监测技术研究与应用","黄森清","2025","master thesis","中国科学技术大学","工程硕士学位论文","","https://www.niclab.ac.cn/assets/pdf/2025-%E5%9F%BA%E4%BA%8E%E5%88%86%E5%B8%83%E5%BC%8F%E5%85%89%E7%BA%A4%E4%BC%A0%E6%84%9F%E7%9A%84%E9%A3%8E%E7%94%B5%E5%9C%B0%E5%9F%8B%E7%94%B5%E7%BC%86%E5%AE%89%E5%85%A8%E7%9B%91%E6%B5%8B%E6%8A%80%E6%9C%AF%E7%A0%94%E7%A9%B6%E4%B8%8E%E5%BA%94%E7%94%A8.pdf","university laboratory full-text PDF","S010","T1","distributed fiber sensing; underground cable; engineering monitoring","domestic","A","institutional full text and degree metadata verified","include","","huang2025cable_thesis","recent domestic engineering application","DAS application context","C01","2026-07-27","zh","yes"
"LIT097","基于φ-OTDR光纤传感系统的扰动信号分类研究","田曼伶","2022","master thesis","北京交通大学","硕士学位论文","","https://yb.cie.org.cn/list_223/13225.html","China Institute of Electronics official thesis award list and bibliographic citation","S010","T4","disturbance classification; phi-OTDR; signal processing","domestic","B","official award list confirms author title supervisor and degree institution","include","","tian2022classification_thesis","recent domestic degree research on event classification","signal processing and classification","C03","2026-07-27","zh","yes"
"LIT098","基于分布式光纤传感的供水管道泄漏检测理论与技术研究","张令春","2023","doctoral thesis","合肥工业大学","博士学位论文","","https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CDFD&dbname=CDFD2025&filename=1024692006.nh","CNKI doctoral thesis metadata page","S010","T1","pipeline leakage; phi-OTDR; phase demodulation; distributed sensing","domestic","A","degree type metadata and abstract verified","include","","zhang2023pipeline_thesis","recent domestic doctoral research on DAS application","phase sensing and engineering application","C01","2026-07-27","zh","yes"
"LIT099","基于相位敏感光时域反射计的语音与脚步振动信号监测系统研究","孙文达; 郑晶; 孙远","2023","journal article","激光与光电子学进展","60(23):2306004","10.3788/LOP222964","https://doi.org/10.3788/LOP222964","journal official full-text PDF and DOI","S010","T1","voice monitoring; footstep monitoring; orthogonal demodulation; perimeter security","domestic","A","official full text and DOI metadata verified","include","","sun2023voice_cn","recent Chinese DAS application","orthogonal demodulation and application","C01","2026-07-27","zh","yes"
"LIT100","基于快速傅里叶变换的分布式振动传感信号解调分析","司召鹏; 毛邦宁; 卜泽华; 龚华平; 徐贲; 康娟; 杨春君; 赵春柳","2023","journal article","中国激光","50(5):0506001","10.3788/CJL220902","https://doi.org/10.3788/CJL220902","journal official full-text PDF and DOI","S010","T4","FFT demodulation; phase extraction; SNR; coherent fading","domestic","A","official full text and DOI metadata verified","include","","si2023fft_cn","recent Chinese demodulation method","FFT phase extraction and comparison","C03","2026-07-27","zh","yes"
"LIT101","Φ-OTDR系统振动信号的聚类识别方法","刘念超; 李勤; 赵小艇; 梁生","2024","journal article","红外与激光工程","53(11):20240294","10.3788/IRLA20240294","https://doi.org/10.3788/IRLA20240294","journal official HTML full text and DOI","S010","T4","time-domain feature; clustering; event recognition; unsupervised learning","domestic","A","official full text and DOI metadata verified","include","","liu2024clustering_cn","recent Chinese event recognition","signal processing and application","C03","2026-07-27","zh","yes"
"LIT102","基于双声光调制器Φ-OTDR系统的抑制频漂方法","尚秋峰; 谷元宇; 樊小凯","2024","journal article","半导体光电","45(6):1007-1013","","https://www.semiopto.net/","journal official index CNKI index and bibliographic database","S010","T3","dual AOM; frequency drift; heterodyne detection; quadrature demodulation","domestic","B","title authors volume issue pages and abstract cross-verified","include","","shang2024dualaom_cn","recent Chinese AOM frequency-drift work","AOM frequency drift and demodulation","C02","2026-07-27","zh","yes"
"LIT103","分布式声学传感在海缆锚害监测中的应用（特邀）","张鸿; 吴明埝; 王道根; 穆章健; 谢书鸿; 吴正明; 李松林; 陈青青","2025","journal article","光通信研究","2025(4):250098","10.13756/j.gtxyj.2025.250098","https://doi.org/10.13756/j.gtxyj.2025.250098","journal official HTML and full-text PDF","S010","T1","submarine cable; anchor damage; DAS; engineering monitoring","domestic","A","official full text and DOI metadata verified","include","","zhang2025submarine_cn","recent Chinese DAS engineering application","DAS application context","C01","2026-07-27","zh","yes"
"LIT104","Modeling erbium-doped fiber amplifiers","C. R. Giles; E. Desurvire","1991","journal article","Journal of Lightwave Technology","9(2):271-283","10.1109/50.65886","https://doi.org/10.1109/50.65886","Crossref metadata and IEEE publisher record","S007","T2","EDFA; gain model; amplified spontaneous emission; optical amplification","international","A","publisher metadata verified","include","","giles1991edfa","EDFA characteristics and amplifier selection","EDFA gain and noise basis","","2026-08-14","en","no"
